t,L,EE,dEE
0.3,12,0.003289304135037165,0.0021623438873944315
0.6,12,0.002551048233715281,0.004745419831035228
0.9,12,9.239326415055338e-05,0.004923429045440604
1.2,12,0.005757993015641211,0.007943510886350548
1.5,12,0.012975138296228641,0.008993702998937272
1.8,12,0.0180594271171687,0.007123736193966583
2.1,12,0.018769092436620723,0.007188172082366741
2.4,12,0.032948335727110624,0.006422096887193309
2.7,12,0.04568101004949179,0.007723928998332305
3.0,12,0.05794278153960771,0.007953339281597305
3.3,12,0.05349649246488577,0.007519315077670893
3.6,12,0.0604324731700507,0.008088284105226917
0.3,15,0.001000367764522597,0.003429343662822019
0.6,15,0.00165115135605677,0.006790829867446529
0.9,15,0.002955034055389298,0.008935226650257895
1.2,15,0.00554300732082126,0.009606045987587379
1.5,15,0.013206811054112335,0.009333016065043527
1.8,15,0.017664451586194983,0.010870138580197614
2.1,15,0.024117577972420774,0.012412382920396859
2.4,15,0.0318683303830812,0.010015093322663749
2.7,15,0.03523872955776553,0.011618830407133334
3.0,15,0.05912458216531675,0.012324377010242984
3.3,15,0.05841785970179499,0.010706116110592401
3.6,15,0.06617077316699733,0.012286123276896162
0.3,3,0.0015544286481445789,0.0008657895868707106
0.6,3,0.002258222636658538,0.001915055803024658
0.9,3,0.0017438953429278056,0.0028282770845215062
1.2,3,0.004577778892895314,0.002924955562073642
1.5,3,0.0030826325619315005,0.0027660854922556457
1.8,3,0.0038865707052397652,0.002999650549233092
2.1,3,0.0044909707215723136,0.002907381375307981
2.4,3,0.00897379397854846,0.0030517842554603682
2.7,3,0.007922019146021586,0.0033051730454731676
3.0,3,0.00920690229752122,0.003423929684620733
3.3,3,0.00945854812051704,0.00412898617276159
3.6,3,0.007528003518627667,0.0038209519061200565
0.3,6,0.001676297336190962,0.0016057596649741714
0.6,6,0.0039079525221364965,0.0024774323707725397
0.9,6,0.0055911781839446655,0.003308864984982058
1.2,6,0.00561210733812638,0.003989916642327933
1.5,6,0.014024321795726493,0.002977488897886758
1.8,6,0.01626760847301175,0.003727890610052332
2.1,6,0.027587187855900572,0.004253155516186406
2.4,6,0.03592723144678781,0.004296804599310297
2.7,6,0.0451271098401005,0.004688587004668611
3.0,6,0.05136297278367993,0.004892202326591991
3.3,6,0.05641497111511647,0.005169207339872242
3.6,6,0.060352993449697016,0.005304493570298565
0.3,9,0.00013472869451377367,0.0023891091622335273
0.6,9,0.004681955068733613,0.0031272839660962505
0.9,9,0.003780776724239135,0.003611470590890654
1.2,9,0.006341053939709145,0.0037640941661545584
1.5,9,0.01439347165047875,0.0036818271221924466
1.8,9,0.01976194229278834,0.00465013702017036
2.1,9,0.028614344174641388,0.004898890078223429
2.4,9,0.033211328960558124,0.005923034296807271
2.7,9,0.04160784817675145,0.007686516470483393
3.0,9,0.05057814690296822,0.0065077186616208154
3.3,9,0.056570554337473815,0.008262517832765515
3.6,9,0.06567471589842806,0.008407717447975298
